Hour,Heating Load (kW)
2459,23.750404992688715
2460,20.5834411845422
2461,16.28233648714627
2462,14.028252611755335
2463,12.996261755195123
2464,12.330944567693255
2465,12.184510092368871
2466,13.613727780553562
2467,17.14329312023843
2468,21.361395579432045
2469,24.177637436392796
2470,27.804493976434884
2471,30.43792285679363
2472,31.586576588846608
2473,32.16304079825076
2474,33.259932446703736
2475,35.43554050727001
2476,37.00417745694955
2477,37.65795715452694
2478,37.716597115548744
2479,37.58498739433741
2480,35.08200876722119
2481,30.16034465227092
2482,23.886328802709844
2483,16.7592852686633
2484,12.015084845077094
2485,8.743544936772297
2486,6.030202589138915
2487,6.887738649625076
2488,5.89329097515834
2489,6.0315194702594
2490,8.202515282986587
2491,13.297969152929397
2492,19.24871573681511
2493,23.379324013054706
2494,25.65426829976334
2495,29.174951006041333
2496,30.152275651930065
2497,31.64006255393386
2498,32.61697933758992
2499,34.56872423672324
2500,36.02051657123314
2501,38.50500121250405
2502,37.99987411435363
2503,37.65745854557811
2504,35.97883224428168
2505,34.2120067781363
2506,31.51071423177025
2507,29.36425381495482
2508,28.431720283272107
2509,26.88277986787263
2510,26.680704674040392
2511,26.545112953311495
2512,26.089135955682853
2513,25.782294520860994
2514,27.01990577950197
2515,30.02840509151394
2516,33.93209544055938
2517,35.502831632513946
2518,37.44878641803402
2519,38.68592634410326
2520,39.89814924693032
2521,41.8979327042097
2522,42.61584930279532
2523,46.0423097588171
2524,47.877188422261625
2525,48.53829179731521
2526,49.2368373360899
2527,48.065145913237785
2528,46.2618854635004
2529,44.21603096523075
2530,40.19416835498286
2531,38.379105168784086
2532,35.15426046475994
2533,35.39120141247392
2534,31.141399520454566
2535,30.37906803115556
2536,29.27014323163122
2537,27.761001950480278
2538,26.559290130513105
2539,29.81615012153121
2540,34.116975163349785
2541,35.50098565126161
2542,42.56869626171896
2543,45.536704063261006
2544,46.04603512214156
2545,47.56268095593337
2546,48.27255025938391
2547,48.91769434961222
2548,50.871413744456966
2549,51.86628428045374
2550,52.668937407860795
2551,52.10835895478778
2552,48.357870366172875
2553,41.32987289660339
