Hour,Heating Load (kW)
4641,0.045917833755456994
4642,0.04389350331060038
4643,0.04333076181480064
4644,0.04195798268878379
4645,0.04031088502789651
4646,0.03917798174468532
4647,0.03880165810819651
4648,0.038477352645389575
4649,0.038715618261535634
4650,0.039139273127726776
4651,0.04021340458819511
4652,0.0413984310566404
4653,0.04285471077400894
4654,0.04472223246849338
4655,0.04563807254475832
4656,0.0465823108603945
4657,0.047565024202850546
4658,0.04758705557546294
4659,0.04925244857736164
4660,0.049892993002850244
4661,0.05101699828225843
4662,0.051455859778828245
4663,0.049426696438720844
4664,0.04764470660831745
4665,0.04549212413397303
4666,0.042559806749846815
4667,0.04096219358116269
4668,0.03930798514198811
4669,0.037968232085185454
4670,0.036830471553213326
4671,0.03877176386061274
4672,0.038698434662340304
4673,0.03837878999351235
4674,0.03916432703035227
4675,0.04112344634141296
4676,0.04243176618638984
4677,0.04428011829011332
4678,0.04590090907171044
4679,0.04732118839605739
4680,0.048506841045140595
4681,0.05024050598765803
4682,0.051280544810787636
4683,0.052077444917481015
4684,0.052499611153211764
4685,0.1586729133858676
4686,1.0546164501532087
4687,0.7163890916765415
4688,0.05313892677986435
4689,0.05202446995921594
4690,0.05018978480144218
4691,0.04890556966084243
4692,0.047312850573552556
4693,0.044889852564437296
4694,0.043775520630248366
4695,0.04288810027540341
4696,0.04214556803828206
4697,0.04183270177672224
4698,0.041994299519768345
4699,0.04282377847331696
4700,0.04379810550503482
4701,0.04508872466109057
4702,0.046368356393330305
4703,0.04735015834158652
4704,0.04819810191328951
4705,0.04970561132047065
4706,0.05090159365934302
4707,0.052502093333676336
4708,0.05319574492896705
4709,0.05315564679432816
4710,0.053215355189625384
4711,0.051429129942447846
4712,0.049238754581706574
4713,0.047248528731308026
4714,0.0453517419322131
4715,0.043818840149733196
4716,0.04222284202882406
4717,0.04041403323256813
4718,0.03930576499420797
4719,0.038498611314261695
4720,0.038065965876592806
4721,0.03782859761664809
4722,0.038178831627043705
4723,0.038968515648512586
4724,0.039851192244255165
4725,0.042001120696459254
4726,0.04394165202542741
4727,0.04512679326029753
4728,0.04627062818018287
4729,0.04696703447675746
4730,0.0471089611220065
4731,0.04767100322358754
4732,0.04831921969365795
4733,0.048857386002668625
4734,0.04877350405174883
4735,0.047611478253970135
4736,0.045983240418536006
4737,0.04450277031804821
4738,0.04175786616664343
4739,0.04016978250601737
4740,0.03880457785785056
4741,0.038007310619609776
4742,0.03746084505480764
4743,0.036170028520306964
4744,0.03553522188731889
4745,0.0
4746,0.0
4747,0.03566351480322748
4748,0.038018385449247856
4749,0.040450852141052596
4750,0.04211742847138535
4751,0.043132121219763966
4752,0.04534095582323077
4753,0.04666412228284352
4754,0.0480533082737011
4755,0.049206678408375185
4756,0.05046343122935729
4757,0.05121695107158893
4758,0.05151554569117486
4759,0.05155541826175151
4760,0.05110765930352111
4761,0.050144432381284826
4762,0.048442379860885725
4763,0.04720195077119098
4764,0.044961224624909236
4765,0.04183391482853204
4766,0.03978425472595644
4767,0.0382238695718161
4768,0.03714400525991259
4769,0.03646913951181055
4770,0.036653258415540596
4771,0.03950785528780412
4772,0.04121955406014352
4773,0.04381944404823752
4774,0.04553409383836628
4775,0.0467295544439118
4776,0.04772467241985378
4777,0.04927177519132683
4778,0.05013560322559617
4779,0.05113250460445484
4780,0.051572973371852765
4781,0.051867715848573345
4782,0.05243959293902031
4783,0.052324737000294885
4784,0.0514959325072978
4785,0.049998216362487864
4786,0.048740259139969246
4787,0.046370678938851814
4788,0.04462622656669729
4789,0.04285478729252072
4790,0.04157001290835331
4791,0.03986216575791904
4792,0.03980271573109544
4793,0.03928302229308516
4794,0.039519875078561514
4795,0.040917156401241495
4796,0.042338513055270026
4797,0.04397127043735814
4798,0.045803906682690604
4799,0.04689731831873835
4800,0.04768377040569336
4801,0.04857102293290297
4802,0.04959346787839827
4803,0.05028087143254543
4804,0.05099695882179355
4805,0.05072597643076158
4806,0.05083665653103932
4807,0.05042377568101994
4808,0.0485918793202949
4809,0.04648386775840395
4810,0.04528295231530934
4811,0.04334550349433326
4812,0.04193281012611748
4813,0.040067670287183915
4814,0.03894326125086803
4815,0.03837720140255587
4816,0.038351732394029656
4817,0.038357049442951395
4818,0.03877297447932962
4819,0.03990485620659589
4820,0.04136723760621537
4821,0.04342362569994401
4822,0.04467916330873587
4823,0.04574670596703905
4824,0.04672400800679064
4825,0.04760978894364963
4826,0.04824262288557792
4827,0.050048618489566175
4828,0.05042168367605154
4829,0.050395960655286245
4830,0.050348871817152724
4831,0.04962573107413891
4832,0.048802100808886334
4833,0.04735048827683357
4834,0.04688352646266505
4835,0.04709176410138328
4836,0.04653064995583932
4837,0.04522096256014496
4838,0.04318714746839621
4839,0.04282559535906102
4840,0.041695995592177494
4841,0.04125799182679674
4842,0.041722839595904136
4843,0.043069115310076685
4844,0.0442168127341576
4845,0.04511999480991875
4846,0.04631244439348683
4847,0.04744741334542678
4848,0.04839842232816884
4849,0.049865223099731355
4850,0.05021646165684174
4851,0.05228505198681699
4852,0.052672270304740365
4853,0.05276966720890625
4854,0.053223262165595385
4855,0.05273743213939099
4856,0.052516285550946375
4857,0.051522573175681395
4858,0.050606347649910136
4859,0.050260823788127525
4860,0.05010535323511028
4861,0.04936282458436706
4862,0.04881926570353987
4863,0.04917902421379
4864,0.048897083037757555
4865,0.04859597407894233
4866,0.04859257085998363
4867,0.05018944095871528
4868,0.051456648678666804
4869,0.052023799544297755
4870,0.05302367973195675
4871,0.053176804584149535
4872,0.6947594451481749
4873,1.7406674807789146
4874,2.4574889097362806
4875,4.695420567049673
4876,4.7207189523912065
4877,4.749063390846875
4878,4.855119565775623
4879,3.7650956406253155
4880,2.7171734785851225
4881,0.6584939590200563
4882,0.052829928571291755
4883,0.05180490121474698
4884,0.050366119527520174
4885,0.04847460003694419
4886,0.046923245322495706
4887,0.04569320882320056
4888,0.04527453636125811
4889,0.04530678056996597
4890,0.045723549743838174
4891,0.04675731230762744
4892,0.04806577752862165
4893,0.049480569387390164
4894,0.05123452913137678
4895,0.052143243382825916
4896,0.0523134323328679
4897,0.21655592749709848
4898,1.981157125749387
4899,3.0872196656720123
4900,4.452262725906779
4901,4.569237947921515
4902,5.0769802663623125
4903,2.97179669399169
4904,0.8785202721148981
4905,0.05193904561629692
4906,0.04976511851409491
4907,0.048077779411348706
4908,0.04664202534513321
4909,0.04553202749949406
4910,0.04549635630870551
4911,0.045059616836065526
4912,0.04502603192745513
4913,0.04542011257763754
4914,0.046356197113144315
4915,0.047816870712439084
4916,0.04913296431239818
4917,0.05050788482124889
4918,0.051712377110463094
4919,0.05250897715380726
4920,0.1821875296493675
4921,1.1614263158756635
4922,1.6576965026224242
4923,3.2107898895363842
4924,3.7120705645743035
4925,4.0700614220640015
4926,3.968445531578582
4927,3.5305590331046304
4928,3.330497972056505
4929,2.1725569326636474
4930,0.5711231502745298
4931,0.052059363240388616
4932,0.050642466230219174
4933,0.04978826652570119
4934,0.048667411905212905
4935,0.04703222147267207
4936,0.046853363644333464
4937,0.04701174840585012
4938,0.046892418844086355
4939,0.04773236972724765
4940,0.048662894931045815
4941,0.0505428677317251
4942,0.05276615732786273
4943,0.7290696036138744
4944,1.7021259602130527
4945,2.888486503933108
4946,3.9480092628575605
4947,6.284029283569254
4948,7.3016321342287895
4949,6.869318881330668
4950,7.22442873954857
4951,6.562306043615379
4952,4.712140363522101
4953,2.1620734356833937
4954,0.05218784318639966
4955,0.050103321531352114
4956,0.04828585682951028
4957,0.04701771717027869
4958,0.04615756454262243
4959,0.04528869790843053
4960,0.04503966918433957
4961,0.04513132125803584
4962,0.04561916260155371
4963,0.04679335585694627
4964,0.0479401105516197
4965,0.04991895501214685
4966,0.051028635999318075
4967,0.05182289255695394
4968,0.05258503694705666
4969,0.1749536048178207
4970,0.8820878051347704
4971,2.908165283668208
4972,3.2885322030822235
4973,2.9708026872354516
4974,3.7238996712131827
4975,4.073803402997201
4976,2.447491146608848
4977,0.05212033775005468
4978,0.049774940427567554
4979,0.04795112837545694
4980,0.046155460373256685
4981,0.04451401627851037
4982,0.0435192688527647
4983,0.044201547268066334
4984,0.043597109179205736
4985,0.04295101627673201
4986,0.043417278855554076
4987,0.04445499654163717
4988,0.04573045145391393
4989,0.047172935252973044
4990,0.04863676989221622
4991,0.04934889033530542
4992,0.050571175025746075
4993,0.05239151066668848
4994,0.05306858761654924
4995,0.8216818024758509
4996,0.9893255744338117
4997,1.1641107094801684
4998,1.6398915441539599
4999,1.9378383983847676
5000,1.3210329564843528
5001,0.19987445600478462
5002,0.052116131568113726
5003,0.05085053197795596
5004,0.049445067095823685
5005,0.04793260859391854
5006,0.046752661022147715
5007,0.04750640660348939
5008,0.04668755982924501
5009,0.046008028078458656
5010,0.04519477925646867
5011,0.0447687247595677
5012,0.04565941104330102
5013,0.04732713335813152
5014,0.048874723015566536
5015,0.049665378672690885
5016,0.049494511835729046
5017,0.05015531150928526
5018,0.05133166324004662
5019,0.05209239712467137
5020,0.052134207679146935
5021,0.052421766034594516
5022,0.052956687503283854
5023,0.053184329047163276
5024,0.053102140343643876
5025,0.0530122115604291
5026,0.05274696637495466
5027,0.05254628321246571
5028,0.05176891764964526
5029,0.051460600335860605
5030,0.050716890171015584
5031,0.04963504001563918
5032,0.04951834860042434
5033,0.049440286187653
5034,0.049919117312726774
5035,0.05027611852846388
5036,0.05047871943840719
5037,0.050622629903506695
5038,0.050846628345016374
5039,0.05108478151555628
5040,0.05118670892903602
5041,0.05147754800932724
5042,0.05153750098045334
5043,0.052001226937007664
5044,0.0520932780950358
5045,0.0518947435755718
5046,0.051805407087956404
5047,0.05149412333415159
5048,0.051209032067285866
5049,0.05047385145099436
5050,0.04987930738351868
5051,0.0493345375562179
5052,0.048583091947309066
5053,0.0475676350982697
5054,0.04666260200264161
5055,0.04557326610035982
5056,0.04553473556402871
5057,0.045887420170528506
5058,0.04610490514375602
5059,0.04661180802226578
5060,0.04729275332437736
5061,0.04828154934632993
5062,0.04937390171015615
5063,0.04985872940576889
5064,0.05054270326560891
5065,0.05111947484527815
5066,0.05121840923612053
5067,0.050934836839204155
5068,0.05130179114960636
5069,0.0513056196565944
5070,0.05097380748292798
5071,0.05158691913073181
5072,0.05143194664075149
5073,0.050340603220167986
5074,0.049196310543959496
5075,0.04839482545039839
5076,0.047064549411175084
5077,0.04671270952607592
5078,0.04561917772404199
5079,0.045098192509215394
5080,0.04395275786412212
5081,0.04346131388494153
5082,0.04351702564503872
5083,0.044284234437750675
5084,0.04552339147508665
5085,0.047123471472664775
5086,0.04886205288142271
5087,0.04965086625571447
5088,0.05023483872569306
5089,0.05089104626478748
5090,0.05105287644074046
5091,0.05142201309090438
5092,0.05153640154813388
5093,0.051296170747489434
5094,0.05146454410907829
5095,0.050410743186756826
5096,0.04879053915675651
5097,0.047417975397520296
5098,0.04566637233817008
5099,0.04434764889751905
5100,0.043228826237580995
5101,0.04132432532199563
5102,0.04057141607122414
5103,0.04031131674413043
5104,0.039777149277269705
5105,0.039803842646350486
5106,0.04023500422579053
5107,0.04155267162702209
5108,0.042570400309700905
5109,0.04422370867622059
5110,0.04574227437959064
5111,0.04710683640846143
5112,0.04738539775018981
5113,0.047520107606585746
5114,0.048026192796168536
5115,0.04837241084624774
5116,0.048440020787872025
5117,0.048710651021368345
5118,0.04832005215536876
5119,0.047655827659824915
5120,0.046646606609920434
5121,0.045410016506783356
5122,0.042876267800822584
5123,0.0414085688869285
5124,0.039904467853907284
5125,0.038349217680115205
5126,0.0372862681607768
5127,0.03660052396897082
5128,0.0369294485681972
5129,0.037916200223788575
5130,0.038732845175255576
5131,0.03990162732910435
5132,0.041642721627107054
5133,0.043515703454186636
5134,0.04454422363414312
5135,0.04525367945864314
5136,0.046255012440397425
5137,0.04800672529073544
5138,0.04799864709583675
5139,0.048987624721499964
5140,0.050267256297387666
5141,0.0506739682998423
5142,0.0507562766646118
5143,0.05067626356935218
5144,0.05007933526157465
5145,0.049065443745425964
5146,0.04747949806302075
5147,0.04614220880937084
5148,0.044618410895641406
5149,0.04231276710695784
5150,0.04105078331764359
5151,0.04009212183446926
5152,0.040045287876855684
5153,0.04020148413794959
5154,0.04057247214478717
5155,0.04135419920666489
5156,0.04206519088186837
5157,0.043735789372584384
5158,0.04481199740463413
5159,0.04567851780760684
5160,0.04676463781904522
5161,0.04807466854957533
5162,0.04828491101329773
5163,0.05005260032775971
5164,0.05086158871467191
5165,0.05153539129131046
5166,0.05145260677059645
5167,0.051232222651431306
5168,0.05044139300138627
5169,0.049455167697377296
5170,0.04801975818142304
5171,0.04627332678546643
5172,0.04421363976334632
5173,0.041989170924287646
5174,0.03958269299423927
5175,0.03832794820061121
5176,0.036671912936282476
5177,0.03606532446709768
5178,0.03649528417243919
5179,0.03970886938927253
5180,0.04171333867970561
5181,0.043880418217902034
5182,0.04557167450398481
5183,0.046636368625335156
5184,0.04727478140170956
5185,0.04770689131194908
5186,0.04771115906593794
5187,0.04935686860799095
5188,0.05064153851324091
5189,0.05145181745196076
5190,0.05156636872371501
5191,0.0517586592540211
5192,0.051368046918909914
5193,0.050707210215660645
5194,0.049075632316343765
5195,0.04736236134013958
5196,0.04603852824841167
5197,0.04387737130180901
5198,0.041627940036571894
5199,0.040958078678507294
5200,0.04007373144815943
5201,0.03989145962560152
5202,0.04120204789558008
5203,0.04294592136846696
5204,0.04461194384173845
5205,0.04642341731029301
5206,0.0479571659522399
5207,0.0492984583073322
5208,0.05112412520647385
5209,0.05202885269221441
5210,0.052528396636330243
5211,0.05306809177528799
5212,0.8087355139877497
5213,1.4246576627221217
5214,2.0196545178975804
5215,1.9073140850234014
5216,1.2688556475873483
5217,0.5979375390404668
5218,0.05258942044639668
5219,0.051278612462476725
5220,0.050576424982316785
5221,0.04773117870600636
5222,0.04636434756156494
5223,0.04641123758397521
5224,0.04565367139624084
5225,0.04554605015371536
5226,0.045484576109948466
5227,0.04580627263222428
5228,0.046550109254253395
5229,0.04786589114404035
5230,0.048930848550530426
5231,0.049817943893268095
5232,0.050871369245416416
5233,0.05230171288744027
5234,0.05295903732242592
5235,2.0874760322724146
5236,2.5928116388152977
5237,2.91940758199249
5238,2.514296834640014
5239,1.3782139079768263
5240,0.6482764154797086
5241,0.052999323157098974
5242,0.05138875563734742
5243,0.049383994537212275
5244,0.04737952561606991
5245,0.04538453092728862
5246,0.04423783462114126
5247,0.043031963202870116
5248,0.04242017423667249
5249,0.0422393708325817
5250,0.04249527712658298
5251,0.04388967602314965
5252,0.04500222300836249
5253,0.04651923277176261
5254,0.0481763660796054
5255,0.04923674918559564
5256,0.04991715658288633
5257,0.050985762898778486
5258,0.051804822743659384
5259,0.05248593641404879
5260,0.05288079087391268
5261,0.053059239310349345
5262,0.21490076924686066
5263,0.052894954757938026
5264,0.050496792144801295
5265,0.04766048573728818
5266,0.04545762377228335
5267,0.04379606381659944
5268,0.04230282812776954
5269,0.040637518037901915
5270,0.03949171840115653
